Team,League,Division,Ranking,Year,SB,CS,SO,SH,SF,IBB,BatAge,R,H,HR,RBI,RPG,AvgHomeAtt,Playoff
ARI,NL,West,16,2008,58,23,1287,68,43,49,26.7,720,1355,159,683,4.44,"30,987",0
ATL,NL,East,25,2008,58,27,1023,69,34,56,27.1,753,1514,130,721,4.65,"31,270",0
BAL,AL,East,26,2008,81,37,990,27,48,37,30.1,782,1486,172,750,4.86,"24,376",0
BOS,AL,East,4,2008,120,35,1068,28,62,49,29.8,845,1565,173,807,5.22,"37,633",1
CHC,NL,Central,2,2008,87,34,1186,65,45,48,30,855,1552,184,811,5.31,"40,743",1
CHW,AL,Central,9,2008,67,34,1016,28,47,33,30.6,811,1458,235,785,4.98,"30,496",1
CIN,NL,Central,22,2008,85,47,1125,72,41,50,28.6,704,1351,187,677,4.35,"25,415",0
CLE,AL,Central,17,2008,77,29,1213,43,49,44,27.6,805,1455,171,772,4.97,"26,787",0
COL,NL,West,21,2008,141,37,1209,90,38,36,27.5,747,1462,160,714,4.61,"32,719",0
DET,AL,Central,23,2008,63,31,1076,30,44,23,30.3,821,1529,200,780,5.07,"39,539",0
FLA,NL,East,14,2008,76,28,1371,49,46,50,28,770,1397,208,741,4.78,"16,482",0
HOU,AL,West,11,2008,114,52,1051,57,41,42,31.1,712,1432,167,684,4.42,"34,744",0
KCR,AL,Central,20,2008,79,38,1005,32,36,31,28,691,1507,120,650,4.27,"19,493",0
LAA,AL,West,1,2008,129,48,987,32,50,52,29,765,1486,159,721,4.72,"41,194",1
LAD,NL,West,15,2008,126,43,1032,64,38,62,28.5,700,1455,137,659,4.32,"46,056",1
MIL,NL,Central,6,2008,108,38,1203,54,43,44,28.6,750,1398,198,722,4.63,"37,882",1
MIN,AL,Central,10,2008,102,42,979,52,72,48,26.2,829,1572,111,791,5.09,"28,425",0
NYM,NL,East,8,2008,138,36,1024,73,49,71,30.1,799,1491,172,751,4.93,"49,902",0
NYY,AL,East,7,2008,118,39,1015,31,39,36,31.3,789,1512,180,758,4.87,"53,070",0
OAK,AL,West,19,2008,88,21,1226,30,35,23,27.2,646,1318,125,610,4.01,"20,559",0
PHI,NL,East,5,2008,136,25,1117,71,40,68,30.1,799,1407,214,762,4.93,"42,254",1
PIT,NL,Central,27,2008,57,19,1039,66,51,40,28.4,735,1454,153,705,4.54,"19,865",0
SDP,NL,West,28,2008,36,17,1259,59,46,35,28.9,637,1390,154,615,3.93,"29,970",0
SEA,AL,West,29,2008,90,32,890,36,42,44,29.7,671,1498,124,631,4.14,"28,762",0
SFG,NL,West,24,2008,108,46,1044,57,44,45,29.6,640,1452,94,606,3.95,"35,356",0
STL,NL,Central,13,2008,73,32,985,71,44,63,28.8,779,1585,174,744,4.81,"42,382",0
TBR,AL,East,3,2008,142,50,1224,23,52,33,27,774,1443,180,735,4.78,"22,370",1
TEX,AL,West,18,2008,81,25,1207,37,54,43,27.7,901,1619,194,867,5.56,"24,021",0
TOR,AL,East,12,2008,80,27,938,48,56,34,31,714,1453,126,681,4.41,"29,627",0
WSN,NL,East,30,2008,81,43,1095,64,36,21,27.8,641,1376,117,608,3.98,"29,005",0
ARI,NL,West,24,2009,102,40,1298,54,41,47,26.5,720,1408,173,686,4.44,"26,281",0
ATL,NL,East,12,2009,58,26,1064,95,47,54,28.8,735,1459,149,700,4.54,"29,304",0
BAL,AL,East,28,2009,76,37,1013,13,46,25,28.7,741,1508,160,708,4.57,"23,545",0
BOS,AL,East,4,2009,126,39,1120,19,51,39,30,872,1495,212,822,5.38,"37,811",1
CHC,NL,Central,16,2009,56,34,1185,65,42,44,29.9,707,1398,161,678,4.39,"39,611",0
CHW,AL,Central,18,2009,113,49,1022,34,39,25,29.8,724,1410,184,695,4.47,"28,200",0
CIN,NL,Central,19,2009,96,40,1129,100,41,37,27.9,673,1349,158,637,4.15,"21,579",0
CLE,AL,Central,26,2009,84,31,1211,39,50,20,27.4,773,1468,161,730,4.77,"21,805",0
COL,NL,West,6,2009,106,55,1277,76,60,40,27.8,804,1408,190,760,4.96,"32,902",1
DET,AL,Central,13,2009,72,33,1114,53,39,30,29.8,743,1443,183,718,4.56,"31,693",0
FLA,NL,East,10,2009,75,35,1226,70,39,46,27,772,1493,159,727,4.77,"18,075",0
HOU,AL,West,23,2009,113,44,990,66,45,37,31.6,643,1415,142,616,3.97,"31,124",0
KCR,AL,Central,27,2009,88,29,1091,38,32,20,27.6,686,1432,144,657,4.23,"22,196",0
LAA,AL,West,2,2009,148,63,1054,43,52,32,29.5,883,1604,173,841,5.45,"40,005",1
LAD,NL,West,3,2009,116,48,1068,78,44,76,29.7,780,1511,145,739,4.81,"46,440",1
MIL,NL,Central,17,2009,68,37,1231,58,47,44,29.3,785,1447,182,757,4.85,"37,499",0
MIN,AL,Central,11,2009,85,32,1021,51,57,46,27.6,817,1539,172,770,5.01,"29,466",1
NYM,NL,East,25,2009,122,44,928,88,55,49,29.5,671,1472,95,631,4.14,"39,118",0
NYY,AL,East,1,2009,111,28,1014,31,39,35,30.5,915,1604,244,881,5.65,"45,918",1
OAK,AL,West,21,2009,133,48,1046,31,54,16,29.1,759,1464,135,723,4.69,"17,392",0
PHI,NL,East,5,2009,119,28,1155,55,45,47,31.3,820,1439,224,788,5.06,"44,453",1
PIT,NL,Central,29,2009,90,32,1142,60,36,44,27,636,1364,125,612,3.95,"19,480",0
SDP,NL,West,22,2009,82,29,1182,74,36,52,28,638,1315,141,605,3.94,"23,699",0
SEA,AL,West,14,2009,89,33,1093,56,44,39,29.9,640,1430,160,613,3.95,"27,105",0
SFG,NL,West,8,2009,78,28,1158,67,55,41,29,657,1411,122,612,4.06,"35,335",0
STL,NL,Central,7,2009,75,31,1041,68,43,73,28.5,730,1436,160,694,4.51,"41,275",1
TBR,AL,East,15,2009,194,61,1229,25,45,36,27.8,803,1434,199,765,4.96,"23,148",0
TEX,AL,West,9,2009,149,36,1253,40,51,23,27.8,784,1436,224,748,4.84,"26,617",0
TOR,AL,East,20,2009,73,23,1028,24,49,23,29.9,798,1516,209,766,4.93,"23,162",0
WSN,NL,East,30,2009,73,40,1208,64,42,39,28.4,710,1416,156,685,4.38,"22,435",0
ARI,NL,West,28,2010,86,41,1529,41,41,45,26.8,713,1366,180,691,4.4,"25,391",0
ATL,NL,East,7,2010,63,29,1140,69,35,50,28.6,738,1411,139,699,4.56,"30,989",1
BAL,AL,East,27,2010,76,34,1056,31,45,32,28.6,613,1440,133,577,3.78,"21,395",0
BOS,AL,East,10,2010,68,17,1140,29,46,43,30.9,818,1511,211,782,5.05,"37,610",0
CHC,NL,Central,23,2010,55,31,1236,60,38,32,29.3,685,1414,149,658,4.23,"37,814",0
CHW,AL,Central,11,2010,160,74,922,50,38,23,30.6,752,1467,177,710,4.64,"27,091",0
CIN,NL,Central,6,2010,93,43,1218,66,50,34,29,790,1515,188,761,4.88,"25,439",1
CLE,AL,Central,24,2010,91,33,1184,36,33,34,27.2,646,1362,128,601,3.99,"17,181",0
COL,NL,West,14,2010,99,42,1274,56,47,53,28.8,770,1452,173,741,4.75,"35,497",0
DET,AL,Central,16,2010,69,30,1147,41,41,50,29,751,1515,152,717,4.64,"30,386",0
FLA,NL,East,17,2010,92,26,1375,51,43,42,26.9,719,1403,152,686,4.44,"18,826",0
HOU,AL,West,22,2010,100,36,1025,75,29,27,29.6,611,1348,108,577,3.77,"28,784",0
KCR,AL,Central,26,2010,115,50,905,45,53,25,28.9,676,1534,121,640,4.17,"19,942",0
LAA,AL,West,19,2010,104,52,1070,42,37,28,29.6,681,1363,155,656,4.2,"40,134",0
LAD,NL,West,18,2010,92,50,1184,85,50,57,30.3,667,1368,120,621,4.12,"43,979",0
MIL,NL,Central,21,2010,81,26,1216,35,35,35,27.9,750,1471,182,710,4.63,"34,278",0
MIN,AL,Central,4,2010,68,28,967,38,53,45,28.4,781,1521,142,749,4.82,"39,798",1
NYM,NL,East,20,2010,130,44,1095,74,57,53,28.4,656,1361,128,625,4.05,"31,602",0
NYY,AL,East,3,2010,103,30,1136,33,44,36,30.3,859,1485,201,823,5.3,"46,491",1
OAK,AL,West,15,2010,156,38,1061,43,51,16,27.8,663,1396,109,619,4.09,"17,511",0
PHI,NL,East,1,2010,108,21,1064,44,43,69,31.8,772,1451,166,736,4.77,"44,968",1
PIT,NL,Central,30,2010,87,36,1207,58,33,28,26.5,587,1303,126,570,3.62,"19,919",0
SDP,NL,West,9,2010,124,50,1183,79,46,67,29.1,665,1338,132,630,4.1,"26,318",0
SEA,AL,West,29,2010,142,39,1184,42,40,33,29.5,513,1274,101,485,3.17,"25,749",0
SFG,NL,West,5,2010,55,32,1099,76,41,53,29.5,697,1411,162,660,4.3,"37,499",1
STL,NL,Central,12,2010,79,41,1027,66,40,78,28.8,736,1456,150,689,4.54,"40,756",0
TBR,AL,East,2,2010,172,47,1292,39,57,30,27.5,802,1343,160,769,4.95,"23,025",1
TEX,AL,West,8,2010,123,48,986,53,54,37,28.3,787,1556,162,740,4.86,"30,928",1
TOR,AL,East,13,2010,58,20,1164,16,34,25,29.3,755,1364,257,732,4.66,"19,173",0
WSN,NL,East,25,2010,110,41,1220,71,47,36,29.1,655,1355,149,634,4.04,"22,569",0
ARI,NL,West,6,2011,133,55,1249,50,33,55,28.3,731,1357,172,702,4.51,"25,993",1
ATL,NL,East,10,2011,77,44,1260,75,30,45,28.9,641,1345,173,606,3.96,"29,296",0
BAL,AL,East,27,2011,81,25,1120,24,43,24,28.3,708,1434,191,684,4.37,"21,672",0
BOS,AL,East,9,2011,102,42,1108,22,50,52,30,875,1600,203,842,5.4,"37,704",0
CHC,NL,Central,25,2011,69,23,1202,60,35,35,29.2,654,1423,148,610,4.04,"37,259",0
CHW,AL,Central,17,2011,81,53,989,52,46,31,30,654,1387,154,625,4.04,"24,705",0
CIN,NL,Central,18,2011,97,50,1250,78,40,52,28.6,735,1438,183,697,4.54,"27,328",0
CLE,AL,Central,16,2011,89,42,1269,31,43,30,27.8,704,1380,154,671,4.35,"22,726",0
COL,NL,West,21,2011,118,42,1201,75,44,54,28.6,735,1429,163,697,4.54,"35,923",0
DET,AL,Central,5,2011,49,20,1143,50,58,47,28.7,787,1540,169,750,4.86,"32,618",1
FLA,NL,East,22,2011,95,41,1244,89,42,38,27.4,625,1358,149,596,3.86,"18,772",0
HOU,AL,West,30,2011,118,33,1164,66,37,34,28.2,615,1442,95,579,3.8,"25,519",0
KCR,AL,Central,24,2011,153,58,1006,55,57,37,25.8,730,1560,129,705,4.51,"21,290",0
