Team,League,Division,Ranking,Year,SB,CS,SO,SH,SF,IBB,BatAge
ARI,NL,West,16,2008,58,23,1287,68,43,49,26.7
ATL,NL,East,25,2008,58,27,1023,69,34,56,27.1
BAL,AL,East,26,2008,81,37,990,27,48,37,30.1
BOS,AL,East,4,2008,120,35,1068,28,62,49,29.8
CHC,NL,Central,2,2008,87,34,1186,65,45,48,30
CHW,AL,Central,9,2008,67,34,1016,28,47,33,30.6
CIN,NL,Central,22,2008,85,47,1125,72,41,50,28.6
CLE,AL,Central,17,2008,77,29,1213,43,49,44,27.6
COL,NL,West,21,2008,141,37,1209,90,38,36,27.5
DET,AL,Central,23,2008,63,31,1076,30,44,23,30.3
FLA,NL,East,14,2008,76,28,1371,49,46,50,28
HOU,AL,West,11,2008,114,52,1051,57,41,42,31.1
KCR,AL,Central,20,2008,79,38,1005,32,36,31,28
LAA,AL,West,1,2008,129,48,987,32,50,52,29
LAD,NL,West,15,2008,126,43,1032,64,38,62,28.5
MIL,NL,Central,6,2008,108,38,1203,54,43,44,28.6
MIN,AL,Central,10,2008,102,42,979,52,72,48,26.2
NYM,NL,East,8,2008,138,36,1024,73,49,71,30.1
NYY,AL,East,7,2008,118,39,1015,31,39,36,31.3
OAK,AL,West,19,2008,88,21,1226,30,35,23,27.2
PHI,NL,East,5,2008,136,25,1117,71,40,68,30.1
PIT,NL,Central,27,2008,57,19,1039,66,51,40,28.4
SDP,NL,West,28,2008,36,17,1259,59,46,35,28.9
SEA,AL,West,29,2008,90,32,890,36,42,44,29.7
SFG,NL,West,24,2008,108,46,1044,57,44,45,29.6
STL,NL,Central,13,2008,73,32,985,71,44,63,28.8
TBR,AL,East,3,2008,142,50,1224,23,52,33,27
TEX,AL,West,18,2008,81,25,1207,37,54,43,27.7
TOR,AL,East,12,2008,80,27,938,48,56,34,31
WSN,NL,East,30,2008,81,43,1095,64,36,21,27.8
ARI,NL,West,24,2009,102,40,1298,54,41,47,26.5
ATL,NL,East,12,2009,58,26,1064,95,47,54,28.8
BAL,AL,East,28,2009,76,37,1013,13,46,25,28.7
BOS,AL,East,4,2009,126,39,1120,19,51,39,30
CHC,NL,Central,16,2009,56,34,1185,65,42,44,29.9
CHW,AL,Central,18,2009,113,49,1022,34,39,25,29.8
CIN,NL,Central,19,2009,96,40,1129,100,41,37,27.9
CLE,AL,Central,26,2009,84,31,1211,39,50,20,27.4
COL,NL,West,6,2009,106,55,1277,76,60,40,27.8
DET,AL,Central,13,2009,72,33,1114,53,39,30,29.8
FLA,NL,East,10,2009,75,35,1226,70,39,46,27
HOU,AL,West,23,2009,113,44,990,66,45,37,31.6
KCR,AL,Central,27,2009,88,29,1091,38,32,20,27.6
LAA,AL,West,2,2009,148,63,1054,43,52,32,29.5
LAD,NL,West,3,2009,116,48,1068,78,44,76,29.7
MIL,NL,Central,17,2009,68,37,1231,58,47,44,29.3
MIN,AL,Central,11,2009,85,32,1021,51,57,46,27.6
NYM,NL,East,25,2009,122,44,928,88,55,49,29.5
